"filename","family","license","license_class","license_note","status_flag","status_note","attribution","institution","ledger","verdict","used_by","dims","kb","path"
"B30_054__LSE_FOUND_B28_PEST_SquashVineBorer_FrassAtStem_Pollinator_CC-BY-2.5.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Pollinator","","open licence","clear","Book 4","1000x986","132","C:\Users\dstor\lse-repo\assets\B30_054__LSE_FOUND_B28_PEST_SquashVineBorer_FrassAtStem_Pollinator_CC-BY-2.5.jpg"
"B30_055__LSE_FOUND_B28_PEST_SquashVineBorer_LarvaeSplitStemFrass_Pollinator_CC-BY-2.5.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Pollinator","","open licence","clear","Book 4","1000x750","122","C:\Users\dstor\lse-repo\assets\B30_055__LSE_FOUND_B28_PEST_SquashVineBorer_LarvaeSplitStemFrass_Pollinator_CC-BY-2.5.jpg"
"B30_056__LSE_FOUND_B28_ABIOTIC_FertilizerBurn_LeafScorchPattern_CannabisCropMismatch_Fenrisulfir_CC-BY-SA-GFDL.jpg","third-party","CC-BY-SA-GFDL","SA","ShareAlike + GFDL dual licence",,"","Fenrisulfir","","open licence, ShareAlike noted","clear","Book 4","1301x1925","432","C:\Users\dstor\lse-repo\assets\B30_056__LSE_FOUND_B28_ABIOTIC_FertilizerBurn_LeafScorchPattern_CannabisCropMismatch_Fenrisulfir_CC-BY-SA-GFDL.jpg"
"B30_067__LSE_FOUND_B29_ABIOTIC_ContainerHerbs_SaltBuildup_WhiteSaltCrust_DianeMays_CC-BY-2.0.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Diane Mays","","open licence","clear","Book 1","600x450","27","C:\Users\dstor\lse-repo\assets\B30_067__LSE_FOUND_B29_ABIOTIC_ContainerHerbs_SaltBuildup_WhiteSaltCrust_DianeMays_CC-BY-2.0.jpg"
"B30_068__LSE_FOUND_B29_PRACTICAL_ContainerVegetables_ReservoirSpace_WateringDepth_KathleenMoore_CC-BY-2.0.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Kathleen Moore","","open licence","clear","Book 1","450x600","41","C:\Users\dstor\lse-repo\assets\B30_068__LSE_FOUND_B29_PRACTICAL_ContainerVegetables_ReservoirSpace_WateringDepth_KathleenMoore_CC-BY-2.0.jpg"
"B30_069__LSE_FOUND_B29_PRACTICAL_SmallSpaceVegetables_OutdoorRailingContainers_LucyBradley_CC-BY-2.0.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Lucy Bradley","","open licence","clear","Book 1","600x448","55","C:\Users\dstor\lse-repo\assets\B30_069__LSE_FOUND_B29_PRACTICAL_SmallSpaceVegetables_OutdoorRailingContainers_LucyBradley_CC-BY-2.0.jpg"
"B30_070__LSE_FOUND_B29_ABIOTIC_Tomato_HerbicideResidue_CuppedNewGrowth_VCE_PublicUse.jpg","third-party","PublicUse","PD?","Marked public use, verify the terms",,"","VCE","VCE","","check","Book 4","800x560","102","C:\Users\dstor\lse-repo\assets\B30_070__LSE_FOUND_B29_ABIOTIC_Tomato_HerbicideResidue_CuppedNewGrowth_VCE_PublicUse.jpg"
"B30_071__LSE_FOUND_B29_ABIOTIC_Bean_HerbicideInjury_EpinastySwollenStems_VCE_PublicUse.jpg","third-party","PublicUse","PD?","Marked public use, verify the terms",,"","VCE","VCE","","check","Book 4","800x566","105","C:\Users\dstor\lse-repo\assets\B30_071__LSE_FOUND_B29_ABIOTIC_Bean_HerbicideInjury_EpinastySwollenStems_VCE_PublicUse.jpg"
"B30_072__LSE_FOUND_B29_ABIOTIC_Squash_HerbicideResidue_FieldEpinastyTwisting_VCE_PublicUse.jpg","third-party","PublicUse","PD?","Marked public use, verify the terms",,"","VCE","VCE","","check","Book 4","800x418","122","C:\Users\dstor\lse-repo\assets\B30_072__LSE_FOUND_B29_ABIOTIC_Squash_HerbicideResidue_FieldEpinastyTwisting_VCE_PublicUse.jpg"
"B30_073__LSE_FOUND_B29_PRACTICAL_RowCover_LowTunnel_FabricOverHoops_KathleenMoore_CC-BY-2.0.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Kathleen Moore","","open licence","clear","Book 4","600x450","60","C:\Users\dstor\lse-repo\assets\B30_073__LSE_FOUND_B29_PRACTICAL_RowCover_LowTunnel_FabricOverHoops_KathleenMoore_CC-BY-2.0.jpg"
"B30_074__LSE_FOUND_B29_PRACTICAL_HighTunnel_Vegetables_RollUpVentilation_KathleenMoore_CC-BY-2.0.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Kathleen Moore","","open licence","clear","Book 1","450x600","62","C:\Users\dstor\lse-repo\assets\B30_074__LSE_FOUND_B29_PRACTICAL_HighTunnel_Vegetables_RollUpVentilation_KathleenMoore_CC-BY-2.0.jpg"
"B30_075__LSE_FOUND_B29_PRACTICAL_HerbsLettuce_ColdFrame_OpenLid_ChrisAlberti_CC-BY-2.0.jpg","third-party","CC-BY-2","BY","Attribution 2.0",,"","Chris Alberti","","open licence","clear","Book 1","400x600","39","C:\Users\dstor\lse-repo\assets\B30_075__LSE_FOUND_B29_PRACTICAL_HerbsLettuce_ColdFrame_OpenLid_ChrisAlberti_CC-BY-2.0.jpg"
