expected_path,location,tier,determination,matched_source_relpath,target_ondisk_name,confidence,source_w,source_h,lowres_flag,gate_photographer,gate_license,subject_overlap,notes
assets/B30_053__LSE_FOUND_B28_PEST_Brassica_DeliaRadicum_MaggotPupaLifeStages_Rasbak_CC-BY-SA-GFDL.jpg,assets_root,4,unresolved,,B30_053__LSE_FOUND_B28_PEST_Brassica_DeliaRadicum_MaggotPupaLifeStages_Rasbak_CC-BY-SA-GFDL.jpg,0.0,,,,rasbak,CCBYSAGFDL,,photographer+license gate PASS (rasbak / CCBYSAGFDL) but subject does NOT independently corroborate (<2 shared subject tokens) — same photographer's DIFFERENT photo (B17_02_Bean_NitrogenDeficiency_CC-BY-SA-GFDL_Rasbak.jpg). NOT proposed.
assets/B30_054__LSE_FOUND_B28_PEST_SquashVineBorer_FrassAtStem_Pollinator_CC-BY-2.5_CONDITIONAL.jpg,assets_root,4,collision,B08_SummerSquash_SquashVineBorer_LarvaFrassStemCut_CC-BY-2-5_Pollinator.jpg,B30_054__LSE_FOUND_B28_PEST_SquashVineBorer_FrassAtStem_Pollinator_CC-BY-2.5_CONDITIONAL.jpg,0.0,1200,900,LOWRES<1500,pollinator,CCBY2.5,borer+squash+stem+vine,"COLLISION: source 'B08_SummerSquash_SquashVineBorer_LarvaFrassStemCut_CC-BY-2-5_Pollinator.jpg' also claimed by 2 other slot(s): B30_012__LSE_FOUND_B26_PEST_SquashBug_Nymphs_OnSummerSquash_Pollinator_CC-BY-2-5.jpg, B30_055__LSE_FOUND_B28_PEST_SquashVineBorer_LarvaeSplitStemFrass_Pollinator_CC-BY-2.5_CONDITIONAL.jpg. At least one is wrong — NOT proposed."
assets/B30_055__LSE_FOUND_B28_PEST_SquashVineBorer_LarvaeSplitStemFrass_Pollinator_CC-BY-2.5_CONDITIONAL.jpg,assets_root,4,collision,B08_SummerSquash_SquashVineBorer_LarvaFrassStemCut_CC-BY-2-5_Pollinator.jpg,B30_055__LSE_FOUND_B28_PEST_SquashVineBorer_LarvaeSplitStemFrass_Pollinator_CC-BY-2.5_CONDITIONAL.jpg,0.0,1200,900,LOWRES<1500,pollinator,CCBY2.5,borer+squash+stem+vine,"COLLISION: source 'B08_SummerSquash_SquashVineBorer_LarvaFrassStemCut_CC-BY-2-5_Pollinator.jpg' also claimed by 2 other slot(s): B30_012__LSE_FOUND_B26_PEST_SquashBug_Nymphs_OnSummerSquash_Pollinator_CC-BY-2-5.jpg, B30_054__LSE_FOUND_B28_PEST_SquashVineBorer_FrassAtStem_Pollinator_CC-BY-2.5_CONDITIONAL.jpg. At least one is wrong — NOT proposed."
assets/B30_056__LSE_FOUND_B28_ABIOTIC_FertilizerBurn_LeafScorchPattern_CannabisCropMismatch_Fenrisulfir_CC-BY-SA-GFDL.jpg,assets_root,4,propose-tier4,B17_03_FertilizerBurn_LeafTipMarginalScorch_CC-BY-SA-GFDL_Fenrisulfir.jpg,B30_056__LSE_FOUND_B28_ABIOTIC_FertilizerBurn_LeafScorchPattern_CannabisCropMismatch_Fenrisulfir_CC-BY-SA-GFDL.jpg,0.8,1301,1925,,fenrisulfir,CCBYSAGFDL,burn+fertilizer+leaf+scorch,GATE PASS: distinct photographer (fenrisulfir) + license (CCBYSAGFDL) + >=2 independent subject tokens (burn+fertilizer+leaf+scorch). PROPOSE.
assets/B30_067__LSE_FOUND_B29_ABIOTIC_ContainerHerbs_SaltBuildup_WhiteSaltCrust_DianeMays_CC-BY-2.0.jpg,assets_root,4,unresolved,,B30_067__LSE_FOUND_B29_ABIOTIC_ContainerHerbs_SaltBuildup_WhiteSaltCrust_DianeMays_CC-BY-2.0.jpg,0.0,,,,,CCBY2,,no source passes photographer+license gate
assets/B30_068__LSE_FOUND_B29_PRACTICAL_ContainerVegetables_ReservoirSpace_WateringDepth_KathleenMoore_CC-BY-2.0.jpg,assets_root,4,unresolved,,B30_068__LSE_FOUND_B29_PRACTICAL_ContainerVegetables_ReservoirSpace_WateringDepth_KathleenMoore_CC-BY-2.0.jpg,0.0,,,,,CCBY2,,no source passes photographer+license gate
assets/B30_069__LSE_FOUND_B29_PRACTICAL_SmallSpaceVegetables_OutdoorRailingContainers_LucyBradley_CC-BY-2.0.jpg,assets_root,4,unresolved,,B30_069__LSE_FOUND_B29_PRACTICAL_SmallSpaceVegetables_OutdoorRailingContainers_LucyBradley_CC-BY-2.0.jpg,0.0,,,,,CCBY2,,no source passes photographer+license gate
assets/B30_070__LSE_FOUND_B29_ABIOTIC_Tomato_HerbicideResidue_CuppedNewGrowth_VCE_PublicUse.jpg,assets_root,4,unresolved,,B30_070__LSE_FOUND_B29_ABIOTIC_Tomato_HerbicideResidue_CuppedNewGrowth_VCE_PublicUse.jpg,0.0,,,,,?,,no source passes photographer+license gate
assets/B30_071__LSE_FOUND_B29_ABIOTIC_Bean_HerbicideInjury_EpinastySwollenStems_VCE_PublicUse.jpg,assets_root,4,unresolved,,B30_071__LSE_FOUND_B29_ABIOTIC_Bean_HerbicideInjury_EpinastySwollenStems_VCE_PublicUse.jpg,0.0,,,,,?,,no source passes photographer+license gate
assets/B30_072__LSE_FOUND_B29_ABIOTIC_Squash_HerbicideResidue_FieldEpinastyTwisting_VCE_PublicUse.jpg,assets_root,4,unresolved,,B30_072__LSE_FOUND_B29_ABIOTIC_Squash_HerbicideResidue_FieldEpinastyTwisting_VCE_PublicUse.jpg,0.0,,,,,?,,no source passes photographer+license gate
