expected_filename,rights_basis,license_canonical,share_alike,license_token_raw,attributed_creator,contact,status_flag,copied_or_proposed,determination
B30_051__LSE_FOUND_B28_DISEASE_Tomato_SouthernBlight_SclerotiaAtCrown_PersleyCooke_CC-BY-SA-3.0_LOWRES.jpg,cc_license,CC-BY-SA-3,true,CC-BY-SA-3.0,Persley Cooke,,LOWRES,no,unresolved
B30_052__LSE_FOUND_B28_PEST_Brassica_CabbageFlyLarva_StalkDamage_PakChoi_SchlagheckenJosef_CC-BY-SA-4.0.jpg,cc_license,CC-BY-SA-4,true,CC-BY-SA-4.0,Schlaghecken Josef,,,no,unresolved
B30_053__LSE_FOUND_B28_PEST_Brassica_DeliaRadicum_MaggotPupaLifeStages_Rasbak_CC-BY-SA-GFDL.jpg,cc_license,CC-BY-SA-GFDL,true,CC-BY-SA-GFDL,Rasbak,,,no,unresolved
B30_054__LSE_FOUND_B28_PEST_SquashVineBorer_FrassAtStem_Pollinator_CC-BY-2.5_CONDITIONAL.jpg,cc_license,CC-BY-2.5,false,CC-BY-2.5,Pollinator,,CONDITIONAL,yes,collision
B30_055__LSE_FOUND_B28_PEST_SquashVineBorer_LarvaeSplitStemFrass_Pollinator_CC-BY-2.5_CONDITIONAL.jpg,cc_license,CC-BY-2.5,false,CC-BY-2.5,Pollinator,,CONDITIONAL,yes,collision
B30_056__LSE_FOUND_B28_ABIOTIC_FertilizerBurn_LeafScorchPattern_CannabisCropMismatch_Fenrisulfir_CC-BY-SA-GFDL.jpg,cc_license,CC-BY-SA-GFDL,true,CC-BY-SA-GFDL,Fenrisulfir,,,yes,propose-tier4
B30_067__LSE_FOUND_B29_ABIOTIC_ContainerHerbs_SaltBuildup_WhiteSaltCrust_DianeMays_CC-BY-2.0.jpg,cc_license,CC-BY-2,false,CC-BY-2.0,Diane Mays,,,no,unresolved
B30_068__LSE_FOUND_B29_PRACTICAL_ContainerVegetables_ReservoirSpace_WateringDepth_KathleenMoore_CC-BY-2.0.jpg,cc_license,CC-BY-2,false,CC-BY-2.0,Kathleen Moore,,,no,unresolved
B30_069__LSE_FOUND_B29_PRACTICAL_SmallSpaceVegetables_OutdoorRailingContainers_LucyBradley_CC-BY-2.0.jpg,cc_license,CC-BY-2,false,CC-BY-2.0,Lucy Bradley,,,no,unresolved
B30_070__LSE_FOUND_B29_ABIOTIC_Tomato_HerbicideResidue_CuppedNewGrowth_VCE_PublicUse.jpg,institutional_permission,,false,,Virginia Cooperative Extension,Virginia Cooperative Extension,PublicUse,no,unresolved
B30_071__LSE_FOUND_B29_ABIOTIC_Bean_HerbicideInjury_EpinastySwollenStems_VCE_PublicUse.jpg,institutional_permission,,false,,Virginia Cooperative Extension,Virginia Cooperative Extension,PublicUse,no,unresolved
B30_072__LSE_FOUND_B29_ABIOTIC_Squash_HerbicideResidue_FieldEpinastyTwisting_VCE_PublicUse.jpg,institutional_permission,,false,,Virginia Cooperative Extension,Virginia Cooperative Extension,PublicUse,no,unresolved
B30_073__LSE_FOUND_B29_PRACTICAL_RowCover_LowTunnel_FabricOverHoops_KathleenMoore_CC-BY-2.0.jpg,cc_license,CC-BY-2,false,CC-BY-2.0,Kathleen Moore,,,no,unresolved
B30_074__LSE_FOUND_B29_PRACTICAL_HighTunnel_Vegetables_RollUpVentilation_KathleenMoore_CC-BY-2.0.jpg,cc_license,CC-BY-2,false,CC-BY-2.0,Kathleen Moore,,,no,unresolved
B30_075__LSE_FOUND_B29_PRACTICAL_HerbsLettuce_ColdFrame_OpenLid_ChrisAlberti_CC-BY-2.0.jpg,cc_license,CC-BY-2,false,CC-BY-2.0,Chris Alberti,,,no,unresolved
B30_076__LSE_FOUND_B29_ROOTS_ContainerRootbound_GirdledRoots_BrendanLandis_CC-BY-SA-2.0.jpg,cc_license,CC-BY-SA-2,true,CC-BY-SA-2.0,Brendan Landis,,,no,unresolved
B30_077__LSE_FOUND_B29_HOLD_ABIOTIC_Squash_PesticideBurn_Phytotoxicity_UMD_VERIFY.jpg,unresolved,,false,,University of Maryland,University of Maryland,VERIFY,no,unresolved
B30_078__LSE_FOUND_B29_HOLD_ABIOTIC_Bean_PesticideBurn_ScorchedLeaves_UMD_VERIFY.png,unresolved,,false,,University of Maryland,University of Maryland,VERIFY,no,unresolved
B30_079__LSE_FOUND_B29_HOLD_PEST_Okra_StinkBugDamage_TwistedPods_Clemson_PERMISSION.jpg,institutional_permission,,false,,Clemson University,Clemson University,PERMISSION,no,unresolved
B30_080__LSE_FOUND_B29_HOLD_ROOTS_Basil_RhizoctoniaRootRot_DarkRoots_MSU_PERMISSION.jpg,institutional_permission,,false,,Michigan State University,Michigan State University,PERMISSION,no,unresolved
B30_081__LSE_FOUND_B29_HOLD_ROOTS_Strawberry_BlackRootRot_HealthyVsDiseased_NCSU_PERMISSION.jpg,institutional_permission,,false,,North Carolina State University,North Carolina State University,PERMISSION,no,unresolved
B30_082__LSE_FOUND_B29_HOLD_DISEASE_Tomato_BacterialWilt_StreamingTest_UAEX_PERMISSION.jpg,institutional_permission,,false,,University of Arkansas Coop. Extension,University of Arkansas Coop. Extension,PERMISSION,no,unresolved
